2022-05-20 15:05:586 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:696 INFO  HomePage :86 - Select Job Type Any from job type dropdown [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:774 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:319 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> tag name: h1]<br>
2022-05-20 15:05:154 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:109 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:382 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:564 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:943 INFO  HomePage :66 - Select distance up to 15 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:28 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:439 INFO  HomePage :74 - Enter min Salary 300 to minimum salary field [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:609 INFO  HomePage :78 - Enter max Salary 450 to maximum salary field [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:727 INFO  HomePage :82 - Select Salary Type Per day from salary type dropdown [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:895 INFO  HomePage :86 - Select Job Type Contract from job type dropdown [[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:68 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:416 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (56f046ab496cac087d2f541f68436923)] -> tag name: h1]<br>
2022-05-20 15:05:938 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:622 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:893 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:78 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:519 INFO  HomePage :66 - Select distance up to 75 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //select[@id='distance']]<br>
